GENE.ID,PROTEIN.ID
AGXT,m.20952
ALDH1L,m.27710
ARGH,m.3715
BHMT,m.1453
CA,m.31195
Ca-BP,m.31973
Ca-BP,m.10914
Ca-BP,m.30976
Ca-BP,m.18699
Ca-BP,m.18614
Ca-BP,m.2980
Ca-CAM,m.18614
CALHM2,m.7373
CALM,m.2980
CHIC,m.7707
CLEC,m.20601
COPG,m.21882
CPVL,m.9718
CRYG,m.18988
CTRC,m.30938
CVNH,m.24867
EGF1,m.3271
ENPEP,m.25341
ENPEP,m.16242
FTH1,m.14624
GNMT,m.3567
H3,m.1259
HOMER,m.8726
KPHMT,m.10503
LAMP,m.11357
LAMP1_2,m.11357
LEC,m.25330
LIG1,m.3413
MACPF,m.24483
NPC2,m.15955
NPC2,m.20981
P5CD,m.13221
PCK1,m.10055
PNLIP ,m.30459
RbsB,m.18321
T2R,m.9718
TKT,m.8236
TUBA,m.26508
VWA,m.17458
MMSA,m.18031
MUC5AC,m.3190
GLNA,m.30399
PHHHA,m.11228
APOD,m.11000
