,10BT2_43,10NBT0_22,10NBT2_90,13BT2_71,13NBT0_112,13NBT2_101,20NBT0_73,20NBT2_123,21BT2_40,21NBT0_35,21NBT2_26,25NBT0_102,25NBT0_32,25NBT2_109,26BT2_127,26NBT0_81,26NBT2_49,28NBT0_120,28NBT2_24,55BT2_96,55NBT0_19,55NBT2_79,5BT2_110,5NBT0_39,5NBT2_66,66BT2_17,66NBT0_129,66NBT2_119,73BT2_21,73NBT0_91,73NBT2_108,74BT2_88,74NBT0_64,74NBT2_42,protein
lcl|c225394_g4_i2|m.10584,67.2148,65.6423,68.2678,75.5046,86.2572,73.6263,62.5755,87.3737,62.2077,47.5983,61.8785,55.5557,57.0218,0,103.7233,99.5252,36.2775,108.515,114.4675,51.3256,115.0543,83.0432,135.449,83.6972,71.0907,106.0717,136.3799,83.7692,70.635,67.9782,83.8232,96.2506,51.9754,91.5698,lcl|c225394_g4_i2|m.10584
lcl|c225544_g1_i2|m.10720,0,0,3.6738,6.3206,7.2207,3.4669,3.3674,3.6571,6.6953,0,0,0,0,0,0,28.1183,0,0,3.92,0,0,0,0,0,0,0,3.4249,0,0,3.6582,0,0,0,0,lcl|c225544_g1_i2|m.10720
lcl|c225590_g2_i4|m.10752,29.1064,54.1437,50.6784,53.2827,49.8032,42.5104,41.2913,50.4479,30.7865,32.9788,30.6235,42.7691,38.4105,0,59.8879,57.464,47.1283,17.0876,48.0664,65.1958,72.4693,42.6201,57.3508,32.2168,52.774,55.6761,41.9963,37.6186,35.6854,56.0705,48.3979,44.4586,42.0135,37.0095,lcl|c225590_g2_i4|m.10752
lcl|c225618_g2_i6|m.10783,12.6109,3.5188,21.9574,6.2961,28.7709,27.6277,16.7721,32.7863,13.3388,46.4382,13.2682,10.4234,17.8308,11.8082,9.7303,6.2243,10.2096,33.3158,27.3337,15.4076,19.6242,10.3871,6.7768,24.4274,30.4871,68.7498,17.0585,45.4042,9.9394,18.2202,6.9898,28.8938,11.702,37.7969,lcl|c225618_g2_i6|m.10783
lcl|c207254_g1_i2|m.1628,13.6971,30.5753,15.8991,27.3537,31.2491,45.011,14.5734,0,28.9755,62.0777,28.8222,15.095,30.9866,0,28.1825,40.5628,0,32.1649,33.9292,50.2042,34.1032,15.0424,0,15.1608,16.5565,172.9236,14.8222,60.6955,43.1823,15.8317,0,47.0738,16.9466,74.6409,lcl|c207254_g1_i2|m.1628
lcl|c225632_g3_i1|m.10790,33.84,29.3763,37.0979,31.9126,47.18,20.5933,36.0049,28.24,33.8047,29.8217,37.5818,20.7186,12.7592,0,11.6046,31.5488,40.5872,46.3553,25.6133,29.86,46.8083,20.6464,24.2465,31.2135,29.5421,81.9923,22.3787,29.1576,29.6349,34.7676,27.0924,45.2278,55.8241,32.7835,lcl|c225632_g3_i1|m.10790
lcl|c225668_g5_i2|m.10809,148.178,43.5222,36.2104,15.5746,44.4814,34.1711,24.8933,9.0114,24.747,26.5093,49.2321,42.9737,88.2156,0,32.093,15.397,75.7661,54.9419,48.2964,47.642,97.088,25.6944,75.4366,60.4258,131.977,152.1637,33.7578,34.5587,57.3698,126.1988,60.5167,71.4742,106.1393,59.4985,lcl|c225668_g5_i2|m.10809
lcl|c225713_g4_i1|m.10851,3.9658,0,9.2068,3.96,4.5239,8.6883,8.4391,9.1649,8.3895,8.9869,12.5177,0,4.4859,0,4.08,7.8296,17.1237,4.6565,4.9119,4.8453,4.9371,0,0,13.1689,9.5875,4.5516,8.5832,4.3934,4.1676,9.1677,8.7925,4.5432,4.9067,8.6445,lcl|c225713_g4_i1|m.10851
lcl|c225713_g4_i1|m.10853,12.1639,0,0,0,0,0,12.942,14.0551,12.866,27.5644,0,13.4052,27.518,0,12.5139,12.0074,0,14.2822,30.1312,0,0,0,0,0,44.1096,0,0,40.4259,12.7828,0,13.484,27.8696,30.0992,0,lcl|c225713_g4_i1|m.10853
lcl|c225755_g1_i1|m.10912,0,5.3039,5.516,0,5.4208,5.2054,5.0561,0,0,5.3843,0,0,0,0,0,0,0,0,0,5.8059,5.9159,0,0,0,0,0,0,0,0,0,0,0,0,0,lcl|c225755_g1_i1|m.10912
lcl|c225761_g6_i1|m.10925,19.9995,39.0632,29.0183,39.9397,5.7034,27.384,21.2789,17.3318,15.8654,22.6603,10.521,33.0608,0,224.7175,30.8625,19.7422,10.7942,11.7412,6.1926,30.5435,37.3461,43.9274,16.1209,22.1367,24.1746,57.384,16.2317,11.0779,15.7629,80.9066,11.085,22.9112,24.7441,10.8985,lcl|c225761_g6_i1|m.10925
lcl|c225774_g3_i6|m.10935,0,0,0,0,1.7574,1.6876,0,0,0,0,1.6209,0,0,0,0,0,0,1.8089,0,0,0,0,0,1.7052,0,0,0,1.7067,1.619,0,0,1.7649,1.9061,1.6791,lcl|c225774_g3_i6|m.10935
